Instrument,Trades,Win%,Avg R,Total RR,%Stop,%TP(hard),%MtM,%BE,Max Win Streak,Max Loss Streak,Max DD (R),Time to Recover (trades),Sharpe (per-trade),Sharpe (annual),Trades/Year
6E,558,0.2348,-0.0016,-0.9,0.8907,0.0789,0.0036,0.2419,8,11,-38.0,,-0.0011,-0.0102,83.16
SPOT,553,0.2297,-0.0008,-0.46,0.8897,0.0832,0.0072,0.2351,7,10,-28.0,,-0.0006,-0.0051,82.41
