Instrument,AUC,Brier,LogLoss,Trades,Win%,Avg R,%Stop,%TP(hard),%MtM
6E,0.8749,0.1418,0.4491,558,0.6774,2.3351,0.3244,0.6111,0.0
SPOT,0.8697,0.1516,0.4811,553,0.6691,2.2514,0.3544,0.5823,0.0
