bucket,n,mean_p,win_rate,avg_R,avg_entry,avg_exit
0,93,0.13821189948797358,0.3225806451612903,0.3978494623655915,1.16909623655914,1.169334461879241
1,93,0.462004014314344,0.3333333333333333,0.6344086021505378,1.1387629032258066,1.1385921551713043
2,97,0.950111260255808,0.7835051546391752,2.948453608310077,1.1512443298969075,1.1512900338256387
3,90,0.9914038357500922,1.0,4.0,1.1750427777777779,1.1750249933333337
4,92,0.9955895556386515,0.967391304347826,3.847826086956522,1.185392391304348,1.1854244517391306
