bucket,n,mean_p,win_rate,avg_R,avg_entry,avg_exit
0,92,0.010641357542728947,0.2608695652173913,0.13043478260869565,1.1298677173913043,1.1301228260869565
1,92,0.06086637860349773,0.20652173913043478,-0.010884591414860867,1.1162022826086955,1.114686956521739
2,93,0.13526323819137495,0.16129032258064516,-0.34408602150537637,1.0923431182795698,1.0918839784946237
3,91,0.22628391697109718,0.25274725274725274,0.108702821788056,1.0959995604395605,1.097208901098901
4,92,0.6035012789495389,0.29347826086956524,0.3113725896744789,1.1136678260869566,1.112513695652174
